Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-05 00:00:00-04:00,203.07244608657663,204.3198198340372,199.72947835269025,200.2084808349609,55126100,0.0,0.0
2025-06-06 00:00:00-04:00,202.5734966384944,205.26782088834017,201.62549563553227,203.49156188964844,46607700,0.0,0.0
2025-06-09 00:00:00-04:00,203.96057412654167,205.56719211084612,199.59976040917107,201.02674865722656,72862600,0.0,0.0
2025-06-10 00:00:00-04:00,200.17855851367187,203.9206800071224,200.1486227598628,202.24420166015625,54672600,0.0,0.0
2025-06-11 00:00:00-04:00,203.0724503091444,204.07034932786252,197.99314795828437,198.36236572265625,60989900,0.0,0.0
2025-06-12 00:00:00-04:00,198.66173587371063,199.26046614106752,196.94534836583952,198.78147888183597,43904600,0.0,0.0
2025-06-13 00:00:00-04:00,199.3103695725812,199.9490243445518,195.2888376882346,196.03726196289065,51447300,0.0,0.0
2025-06-16 00:00:00-04:00,196.8854859861783,198.27256505925683,196.1470352061455,198.0031280517578,43020700,0.0,0.0
2025-06-17 00:00:00-04:00,196.78567812068,197.97318035709665,194.79986887227625,195.2289581298828,38856200,0.0,0.0
2025-06-18 00:00:00-04:00,195.5283374204853,197.15491770400297,194.66017014117492,196.1669921875,45394700,0.0,0.0
2025-06-20 00:00:00-04:00,197.82351706190548,201.27623931614943,196.44641147314488,200.5777130126953,96813500,0.0,0.0
2025-06-23 00:00:00-04:00,201.20637663769037,201.87496712850407,198.54198818263384,201.0766448974609,55814300,0.0,0.0
2025-06-24 00:00:00-04:00,202.16436301176623,203.0125832870988,199.77938491343545,199.87918090820312,54064000,0.0,0.0
2025-06-25 00:00:00-04:00,201.02675088646447,203.2420878888105,200.19849288768373,201.1365203857422,39525700,0.0,0.0
2025-06-26 00:00:00-04:00,201.00680230384165,202.2142668779585,199.04095514509615,200.5777130126953,50799100,0.0,0.0
2025-06-27 00:00:00-04:00,201.46584280819525,202.79305039965564,199.57981417332655,200.6575469970703,73188600,0.0,0.0
2025-06-30 00:00:00-04:00,201.58557286233471,206.95427439094752,198.84135059390303,204.7389373779297,91912800,0.0,0.0
2025-07-01 00:00:00-04:00,206.23578409144605,209.74839282792448,205.70689884063933,207.3833770751953,78788900,0.0,0.0
2025-07-02 00:00:00-04:00,208.47108532398715,212.8917706186518,207.7026988246806,211.99366760253903,67941800,0.0,0.0
2025-07-03 00:00:00-04:00,211.70426588787652,214.1990133776075,211.3649838836884,213.1013336181641,34955800,0.0,0.0
2025-07-07 00:00:00-04:00,212.23315593085263,215.77570049162512,208.36131809352125,209.50889587402344,50229000,0.0,0.0
2025-07-08 00:00:00-04:00,209.658593847986,210.985786168202,208.01205130024096,209.5687713623047,42848900,0.0,0.0
2025-07-09 00:00:00-04:00,209.0897778625777,210.8859991217609,206.7846335910969,210.69639587402344,48749400,0.0,0.0
2025-07-10 00:00:00-04:00,210.06772774811225,213.03148920420767,209.58874045798785,211.9637451171875,44443600,0.0,0.0
2025-07-11 00:00:00-04:00,210.12759762046792,211.68431760849728,209.41908263784933,210.7163543701172,39765800,0.0,0.0
2025-07-14 00:00:00-04:00,209.4889316669829,210.46688365912564,207.10395364435493,208.1816864013672,38840100,0.0,0.0
2025-07-15 00:00:00-04:00,208.7804390594974,211.44482767792792,208.48106630115817,208.6706695556641,42296300,0.0,0.0
2025-07-16 00:00:00-04:00,209.85816533566305,211.9537441254909,208.20164932080104,209.7184600830078,47490500,0.0,0.0
2025-07-17 00:00:00-04:00,210.12759810142077,211.3550095983717,209.1496461257956,209.5787506103516,48068100,0.0,0.0
2025-07-18 00:00:00-04:00,210.42696659875529,211.34503189230253,209.25942654413325,210.7363128662109,48974600,0.0,0.0
2025-07-21 00:00:00-04:00,211.6543933122032,215.32665448510332,211.18537954340883,212.03358459472656,51377400,0.0,0.0
2025-07-22 00:00:00-04:00,212.6921919281017,214.49838667908327,211.78410018506472,213.9495391845703,46404100,0.0,0.0
2025-07-23 00:00:00-04:00,214.54829351655,214.69797228179937,211.9637386583707,213.7000732421875,46989300,0.0,0.0
2025-07-24 00:00:00-04:00,213.45060308663847,215.23685093304425,213.08138530657155,213.31089782714844,46022600,0.0,0.0
